locode,osmid
AT LTF,R554552
AT LTG,N240127535
AT LTH,R943571
AT LTN,R75369
AT LTS,R3820032
AT LTX,R965545
AT LTZ,R109536
AT LUT,R75794
AT LUW,R36728
AT LWN,N240061286
AT LXE,R111877
AT LZD,R114764
AT LZG,R103050
AT LZN,R3832571
AT MA5,R1022909
AT MAB,N240069741
AT MAI,R1002065
AT MAL,R572424
AT MAM,N240053236
AT MAR,N240088453
AT MAS,R105922
AT MAT,R109349
AT MAU,R910868
AT MBG,N27559577
AT MBH,R114940
AT MBK,R407055
AT MBR,R78335
AT MBS,R78427
AT MCF,R105557
AT MDO,R215496
AT MDR,R75186
AT MDS,N240101395
AT MEI,N240101308
AT MEL,R127127
AT MEM,R944600
AT MEN,R111950
AT MGL,R104146
AT MGN,R452303
AT MHE,R554889
AT MHF,R305136
AT MHK,R412113
AT MIC,R114618
AT MIK,N240059411
AT MIL,R79622
AT MIS,N240083634
AT MIT,R74228
AT MIX,N173010278
AT MKA,R226100
AT MLA,R75097
AT MLB,R103947
AT MLH,N240026404
AT MLJ,R453691
AT MLL,N181491197
AT MLN,R108379
AT MLS,R1020213
AT MML,N5100340989
AT MMZ,R3906361
AT MNG,N4450829536
AT MNN,N59978218
AT MNO,R109115
AT MOE,R152072
AT MOF,N240117932
AT MON,R102326
AT MOO,R111805
AT MPI,N29749402
AT MR2,R105925
AT MRB,R454143
AT MRH,R80064
AT MRZ,R109319
AT MSB,R51141
AT MSD,N1747794996
AT MSF,N88157815
AT MSN,R945949
AT MSS,N172989691
AT MST,R416328
AT MTB,N240098843
AT MTF,R1002420
AT MTH,R417578
AT MTI,R454125
AT MTK,R49981
AT MTN,R419291
AT MTS,R86576
AT MTZ,R105098
AT MUC,R3945145
AT MUD,N240130260
AT MUE,N240042058
AT MUN,R975856
AT MUQ,N240028655
AT MUR,R3858039
AT MW3,N240098036
AT MZL,R3908794
AT MZZ,R3908721
AT N9F,R103061
AT NAD,R131962
AT NAH,R86535
AT NAL,R446520
AT NAS,R77118
AT NAZ,N45037425
AT NBA,R898204
AT NBI,N240119170
AT ND2,R304251
AT NDF,N240076639
AT NDL,R223102
AT NDS,R77063
AT NE2,N173006894
AT NEB,N117605493
AT NEC,R109524
AT NEH,R9583076
AT NEI,R957783
AT NEK,R65078
AT NEL,R109359
AT NES,N240029753
AT NEU,R5837159
AT NEZ,R76682
AT NFN,R959891
AT NGG,N117034406
AT NGZ,R3813847
AT NHN,R114804
AT NHR,R397982
AT NID,R107361
AT NIS,R108033
AT NKB,R154062
AT NKD,R49986
AT NKN,R111145
AT NLA,R110369
AT NMK,R105569
AT NNN,R78749
AT NPK,N4219267616
AT NRF,N211259350
AT NRR,N60368329
AT NSD,R103294
AT NSL,R1022106
AT NT3,N57725873
AT NT9,R110446
AT NTA,R109522
AT NUA,R3827859
AT NUF,R109130
AT NUZ,R76711
AT NWK,R962346
AT NWR,R110483
AT NWS,R86630
AT OAD,R106438
AT OAM,R129546
AT OBE,R238955
AT OBG,R533099
AT OBH,N240066396
AT OBR,R86513
AT OBU,R89614
AT OCW,N3273148764
AT ODT,R85658
AT OED,N240090610
AT OEN,N29747062
AT OFC,N240084821
AT OHD,R3887001
AT OIN,R1002148
AT OLL,R1013511
AT OMB,R86365
AT ORB,N123987089
AT ORF,N240120129
AT ORH,N240060770
AT ORI,R86758
AT ORT,N1242349349
AT OSF,N57717739
AT OSH,R86237
AT OSK,N119777895
AT OSZ,R222253
AT OTN,R546246
AT OTT,R109352
AT OWD,R111498
AT OWG,N240070017
AT OWT,R226112
AT OZB,N240092745
AT PAL,R3876845
AT PAM,R105584
AT PAS,R305579
AT PAT,N60240514
AT PBM,R109866
AT PBU,R545418
AT PDF,R301652
AT PDG,R36135
AT PDO,R109337
AT PEC,R960779
AT PEG,R34843
AT PER,R105564
AT PET,R128180
AT PFA,R111482
AT PFD,R223062
AT PFF,R79368
AT PFZ,N59977351
AT PGG,R37728
AT PGM,R35086
AT PGN,R534710
AT PGO,R71346
AT PHG,R64965
AT PID,R86681
AT PIS,N240104322
AT PIT,R111053
AT PK6,N240102906
AT PKU,R104258
AT PLA,N119767395
AT PLE,R129532
AT PLH,R106755
AT PLL,R80214
AT PND,R1022107
AT PNT,R110417
AT PO2,R37539
AT POB,N111110587
AT POE,R129473
AT POG,R554893
AT POL,N240099156
AT POY,R107868
AT PP3,R110388
AT PRB,R419453
AT PRD,R104255
AT PRF,R8798076
AT PRH,N2840430914
AT PRL,R49985
AT PRT,R308267
AT PSB,N3347703965
AT PSM,N240102906
AT PSS,R3876860
AT PST,N240110439
AT PTF,R111946
AT PTH,N774543231
AT PTT,R111523
AT PTZ,N36322964
AT PUC,R52170
AT PUF,R112467
AT PUH,N156985814
AT PUP,R105793
AT PUR,R129532
AT PUU,R86308
AT PWE,R64792
AT PZF,N123724387
AT QWE,R111827
AT QXZ,R1016862
AT R8N,R965548
AT RAA,R103999
AT RAB,R3876844
AT RAD,R968982
AT RAH,R51336
AT RAM,R1017328
AT RAN,N240124403
AT RAS,R447215
AT RAU,R1022928
AT RBA,R34882
AT RBG,R3941818
AT RBM,R109316
AT RCA,R103770
AT RDF,N3612275205
AT RDN,R415794
AT RDW,N240095168
AT REI,R900889
AT REU,R75105
AT RFD,R408175
AT RHN,N235551767
AT RHR,R958989
AT RIE,R12870308
AT RIM,R538857
AT RKL,R75177
AT RLD,R226088
AT RMU,R539300
AT RN3,R111541
AT RNA,R898230
AT RNZ,R190382
AT ROA,R546260
AT ROH,R965548
AT ROI,R60625
AT ROS,N240056587
AT RRA,R3879182
AT RRF,N186174393
AT RSB,R129599
AT RSD,R10038703
AT RST,R404511
AT RSU,R106149
AT RTB,R408174
AT RTE,R28754
AT RTH,R75237
AT RTL,R89760
AT RTM,R196252
AT RTT,R3848706
AT RTV,R14680181
AT RTZ,R103970
AT RUD,R178813
AT RUG,R929724
AT RUM,R943590
AT RUN,R313517
AT RUP,R128218
AT RUS,R134349
AT RUZ,R80177
AT RWL,N29745217
AT RXF,R406914
AT RXG,R129600
AT RZL,N60739907
AT S6P,N240082158
AT S7B,N1824135444
AT S7N,R406297
AT SA7,N129714966
AT SAA,R104872
AT SAC,R397122
AT SAD,R86363
AT SAG,R79596
AT SAN,R106095
AT SAO,R3938901
AT SAR,N240035501
AT SAS,R83130
AT SAT,R111505
AT SAW,R112477
AT SBA,R34836
AT SBB,R129519
AT SBC,R110407
AT SBG,R915354
AT SBH,R406436
AT SBL,R3858075
AT SCG,R102924
AT SCH,R442889
AT SCS,R75314
AT SCW,R539293
AT SCZ,R83129
AT SDD,N148386539
AT SDG,R404493
AT SDN,R77772
AT SDO,R107810
AT SEB,R108848
AT SEE,R942611
AT SEF,R103096
AT SEH,R86627
AT SEI,R111538
AT SEL,R1019500
AT SEN,N240032122
AT SER,R90143
AT SET,N8429480872
AT SFD,N34911633
AT SFT,R451669
AT SG4,R910875
AT SGG,N240054474
AT SGL,R5229634
AT SGS,R86384
AT SGT,R3825688
AT SGY,R131851
AT SGZ,N125585165
AT SH5,N240072222
AT SHB,R105944
AT SHE,R455044
AT SHF,N59599529
AT SHG,N240045475
AT SHS,R76734
AT SHT,R111817
AT SIF,R81944
AT SIG,R103475
AT SIN,R1016935
AT SIP,R539293
AT SIR,R86601
AT SIS,R109378
AT SIT,R67005
AT SJB,N778274236
AT SJD,R1019097
AT SKB,R106142
AT SKG,R3848778
AT SKH,R412104
AT SKK,R67003
AT SKM,R109762
AT SKN,R36731
AT SKS,R36538
AT SLB,R1022090
AT SLD,R3851162
AT SLL,R110396
AT SLV,R162972
AT SLZ,R77752
AT SM4,R4571529
AT SMA,R86782
AT SMI,R49983
AT SMK,R416367
AT SML,N186642577
AT SMM,R977353
AT SMR,N240080116
AT SMU,R3865114
AT SND,R14680184
AT SNG,R51329
AT SNI,R129513
AT SNT,R75006
AT SOG,R446560
AT SOL,R1016888
AT SOP,R34833
AT SOS,R111475
AT SPA,R907917
AT SPD,N240046310
AT SPG,R105909
AT SPI,R108847
AT SPN,R114894
AT SPR,R35376
AT SPS,R50981
AT SPZ,R452796
AT SRB,R105945
AT SRD,R106243
AT SRM,R107254
AT SSB,R3816531
AT SSM,R1022853
AT SSO,N240088600
AT SSP,R902342
AT SSR,R3953393
AT SSS,R238906
AT SST,R90629
AT ST2,R83314
AT ST6,R3956080
AT STA,R3851322
AT STB,R109773
AT STC,R114897
AT STD,R37470
AT STE,R111146
AT STF,N240076561
AT STG,N240067839
AT STK,R35406
AT STL,R86691
AT STM,R77758
AT STN,R446608
AT STO,R109527
AT STP,R134351
AT STR,R109328
AT STS,N240049084
AT STV,R911500
AT STZ,R36137
AT SUB,R400729
AT SUH,N244893774
AT SUL,R75290
AT SUN,R63167
AT SUP,R106088
AT SVG,R105848
AT SVM,R1019261
AT SVO,R965536
AT SVT,N240056408
AT SVV,N240066922
AT SWB,R3794293
AT SWG,N240110181
AT SWH,N1093891636
AT SWN,R86579
AT SWO,R1016890
AT SWT,R85653
AT SXA,R107963
AT SYG,R87700
AT SZ5,R1022091
AT SZA,R50650
AT SZG,R86538
AT SZI,R453751
AT TAM,R110313
AT TAT,R111499
AT TBE,R34734
AT TBG,N240110608
AT TBH,N240023983
AT TBL,R444102
AT TDF,N60264893
AT TDW,R79746
AT TEC,N305066028
AT TEF,R111519
AT TEL,R79367
AT TEN,R34887
AT TEU,R3856589
AT TEX,N1840195359
AT TFN,R106157
AT TFS,R80357
AT TGU,R86680
AT THF,R110398
AT THM,N240098876
AT THN,R76689
AT THR,R943656
AT THS,N240097656
AT THY,R103035
AT TIR,N3744299380
AT TIS,R134365
AT TK2,N240094768
AT TKP,R400792
AT TLL,R49824
AT TLN,R106746
AT TMA,W118104933
AT TMR,R63620
AT TNQ,R546246
AT TNU,R109323
AT TNZ,R111103
AT TOL,R3906328
AT TR7,R78144
AT TRH,R49975
AT TRU,R111500
AT TRW,R8733369
AT TSK,R8733372
AT TSN,R110535
AT TTL,R103971
AT TUE,R965588
AT TUL,R109865
AT TWG,N240045746
AT TWR,R80243
AT TYN,N240080130
AT UBA,R34852
AT UBE,N240126687
AT UBG,R1019499
AT UBL,R111940
AT UDE,R80207
AT UER,R104477
AT UFN,N240123922
AT ULB,N240045739
AT ULF,N240114767
AT UNA,R102387
AT UNG,N240047849
AT UNK,R1022087
AT UNN,R106290
AT UNZ,R37910
AT UPS,N240053067
AT URB,N240031917
AT URS,R76715
AT UTB,N117645212
AT UTD,R417559
AT UTK,N178409331
AT UWF,R659830
AT VEH,R131839
AT VEL,R106105
AT VIE,R16035709
AT VLH,R106163
AT VLM,R105904
AT VMP,R80241
AT VNG,R75180
AT VOC,R102878
AT VOE,R942695
AT VOF,R111956
AT VOR,R74776
AT VOT,R67017
AT VTB,R51335
AT VTD,R86602
AT VTH,N9959277540
AT VTS,R532517
AT W8B,N240034452
AT WAF,N61276046
AT WAI,R180604
AT WAL,R86540
AT WAN,N240086493
AT WAR,R74227
AT WAS,R110474
AT WB2,R1003268
AT WBA,N240036826
AT WBG,R129563
AT WBU,R134365
AT WCE,R85871
AT WCH,R3928882
AT WDB,R102967
AT WDF,N240081874
AT WDG,R110413
AT WDO,R3823411
AT WDR,N206147750
AT WDU,R34904
AT WE3,N129693105
AT WEA,R966967
AT WEB,N3375030516
AT WEE,R111449
AT WEG,R8742071
AT WEI,N240035299
AT WEN,R106110
AT WER,R34903
AT WES,N95481945
AT WET,R546281
AT WEU,R533920
AT WEZ,R3885083
AT WFN,R534070
AT WFT,R75778
AT WHE,R86255
AT WID,R1016861
AT WIE,N561302225
AT WIF,R111132
AT WIH,N240068220
AT WIL,N150544687
AT WIS,N240092748
AT WKD,N672006036
AT WKI,R3889878
AT WLP,R50660
AT WLR,R75255
AT WLS,R86540
AT WLZ,N44928005
AT WMP,R109140
AT WNF,R152073
AT WNG,R129608
AT WNK,R102310
AT WNO,N240036357
AT WNR,R110451
AT WOL,R112509
AT WON,R49522
AT WOS,N240088933
AT WPD,R8894792
AT WRT,N5100340990
AT WS6,R3796380
AT WSD,R110407
AT WSE,R915353
AT WSG,R80228
AT WSK,R63251
AT WSL,N26748998
AT WSS,R106151
AT WST,R916327
AT WTD,R918022
AT WTG,N333190150
AT WTN,R78290
AT WUL,R109113
AT WUR,R111131
AT WWT,R106781
AT WYR,R721838
AT XAE,R903891
AT YBB,N95467937
AT YBS,R445716
AT ZAC,R134362
AT ZAE,R35088
AT ZAM,R77309
AT ZAS,R945962
AT ZDD,R108217
AT ZEN,R111832
AT ZER,R112509
AT ZEZ,R80186
AT ZIE,R104790
AT ZIP,N240092944
AT ZIR,R120835
AT ZIS,R105353
AT ZLF,N240068462
AT ZMD,R109328
AT ZNG,N240032871
AT ZNH,R86540
AT ZRF,W31542395
AT ZRS,N73089813
AT ZTG,N240053663
AT ZTW,R37908
AT ZUR,R304266
AT ZWD,R108217
AT ZWT,R405607
AT ZZG,N240023706
AU 2CO,R2439839
AU 2IC,R2425467
AU 2SN,R5518851
AU 2TO,R2398877
AU 2UA,R2910864
AU 2VC,R2403548
AU 2WS,R5579869
AU 32S,R7268486
AU 3CI,R11692726
AU 3CO,R2423691
AU 3WS,R2017025
AU 4VC,R2421689
AU 5CI,R2425522
AU 5CO,R2398969
AU 5RC,R2431044
AU 5TO,R2402480
AU 5WA,R11690247
AU 6CO,R2395606
AU 6DF,R5537417
AU 6VC,R2406204
AU 7BM,R5937768
AU 7IC,R2421654
AU 7WW,R5650434
AU 8SS,R6076770
AU 8VC,R2423812
AU A5T,R2424057
AU AAB,N2022622721
AU AAG,R6489136
AU ABA,R2383155
AU ABC,R3110758
AU ABD,R6058868
AU ABG,R11677490
AU ABH,R11676688
AU ABL,R11675601
AU ABM,R11677452
AU ABN,R6584913
AU ABO,R11677861
AU ABP,N2456839659
AU ABX,R5901440
AU ACA,R11675378
AU ACD,R5994041
AU ACK,R11677714
AU ACO,R11315165
AU ADG,R7265149
AU ADL,R11381689
AU ADO,R6249171
AU AFD,R3159319
AU AFL,R11675371
AU AGA,R11689263
AU AGS,R11688644
AU AGY,N3296375264
AU AHK,R11689380
AU AHS,R11677715
AU AKP,R8362014
AU ALA,R7378235
AU ALB,R2927735
AU ALD,R7390333
AU ALH,R11690359
AU ALI,R11688811
AU ALN,R6076516
AU ALO,R6002487
AU ALT,R2414916
AU ALV,R2650015
AU ALX,R2916624
AU ALY,R9106078
AU AMD,R2395698
AU AMK,R11692733
AU AMN,R11716653
AU AMX,N4385146196
AU ANA,R10625385
AU AND,W673749852
AU ANG,R6683050
AU ANL,R11677836
AU ANN,R2931298
AU ANZ,N4382817623
AU AOK,R11677664
AU APK,R6076515
AU APP,R11689379
AU APR,R9051357
AU APT,R2382220
AU APW,R2401115
AU APY,R11677789
AU ARA,R5696690
AU ARC,R2929277
AU ARD,R6639518
AU ARL,R11675466
AU ARM,R6063353
AU ART,R2959861
AU ARY,R3152384
AU ASB,R11690012
AU ASE,R2732096
AU ASF,R11689278
AU ASH,R9102592
AU ASK,R11677126
AU ASP,R11716659
AU ASQ,R5624064
AU ATA,R5820602
AU ATH,R9092916
AU ATK,R2430790
AU ATL,R5552782
AU ATN,R11677206
AU ATO,R2414912
AU ATT,R11689387
AU AUA,R11689426
AU AUB,R5558591
AU AUC,R2505820
AU AUD,W204784318
AU AUK,R10581621
AU AVA,R2529537
AU AVE,R6597637
AU AVG,N1843775919
AU AVI,R6069670
AU AVV,R2455524
AU AWD,R2395624
AU AWK,R11675621
AU AWN,N2269368196
AU AWP,W191572979
AU AXC,R11676990
AU AXL,W448477705
AU AYB,R11689326
AU AYD,W447931116
AU AYG,R11716440
AU AYL,N3826541557
AU AYR,R11677008
AU B2P,R5539659
AU B3B,R2424063
AU B5P,R2463075
AU BA2,R5650675
AU BAA,R7381689
AU BAE,R6058881
AU BAH,R6669186
AU BAK,R11676630
AU BAL,R2451313
AU BAN,R2590924
AU BAR,W225518178
AU BAS,R11689280
AU BAY,R6069744
AU BBA,R9730156
AU BBC,R5709558
AU BBE,N5958118000
AU BBG,N3825527006
AU BBL,R5823280
AU BBR,R6069702
AU BBT,R11675120
AU BBU,R6055641
AU BBW,R2161967
AU BBY,R11690333
AU BCB,R11689512
AU BCE,R2431147
AU BCH,R6719077
AU BCI,R11676691
AU BCK,R11677489
AU BCO,R6217858
AU BCR,R11677669
AU BDA,R6058933
AU BDB,R5128599
AU BDD,R11677461
AU BDE,R11677666
AU BDF,R7390240
AU BDG,R3079195
AU BDM,R11675325
AU BDN,R11691641
AU BDS,R11675518
AU BDY,R6076550
AU BE9,R5626404
AU BEA,R10585664
AU BEC,R11689298
AU BEE,N2068000597
AU BEG,R5652936
AU BEL,R10579569
AU BEM,R5686191
AU BEO,R5993802
AU BER,R6467854
AU BET,R11294978
AU BEU,R11676754
AU BEV,N6039050324
AU BEW,R11675249
AU BEX,R11689328
AU BEY,R6069694
AU BFC,R11677357
AU BFD,R5998393
AU BFR,R11692249
AU BGA,R6058937
AU BGB,R6069741
AU BGE,R2451494
AU BGG,R11675465
AU BGN,R6026446
AU BGO,R11689381
AU BGR,R10603776
AU BGT,R11688847
AU BGW,R6069685
AU BGY,R5745947
AU BHH,R2583191
AU BHQ,R5731495
AU BHS,R6330866
AU BHT,N2399078111
AU BIB,R11675390
AU BIC,R10621832
AU BIG,R11678056
AU BIL,R6069698
AU BIN,R11688815
AU BIP,R11677757
AU BIR,R9051283
AU BIW,N7291473579
AU BIY,R5508637
AU BJT,R5719084
AU BJU,R5793460
AU BKD,R11677894
AU BKE,R6037049
AU BKH,R2964924
AU BKL,R2414899
AU BKO,R5820585
AU BKP,N2037887515
AU BKQ,R11674900
AU BKT,R11690525
AU BLA,R11689169
AU BLB,R6034698
AU BLC,R3337654
AU BLD,R11690107
AU BLE,R11676823
AU BLG,R11677874
AU BLH,R9728292
AU BLI,R11675669
AU BLK,R6603770
AU BLL,R11689672
AU BLM,R5680947
AU BLN,R2556986
AU BLO,R11676401
AU BLS,R11674852
AU BLT,R11676543
AU BLV,R5501504
AU BLW,R11677139
AU BLY,R2384345
AU BM5,R6063385
AU BMA,R6055558
AU BMD,N2643381179
AU BME,R11690252
AU BMK,R6055713
AU BMO,R5670307
AU BMP,N7644202305
AU BMR,R6076553
AU BMS,R2455479
AU BMU,R6074471
AU BMW,R2398082
AU BND,R11675452
AU BNE,R11677792
AU BNG,R6074478
AU BNK,R6168644
AU BNM,R6703268
AU BNN,R3117845
AU BNT,R11689386
AU BNW,R2589210
AU BNX,R2381810
AU BNY,R6423630
AU BOA,R11675263
AU BOB,R6063400
AU BOD,R11677791
AU BOH,R2950452
AU BOI,R11676386
AU BOL,R3089904
AU BOT,R3096854
AU BOW,R11690109
AU BOX,R11716392
AU BOY,R10603746
AU BPG,R11677914
AU BPK,R8355108
AU BPO,R10578015
AU BPR,R2428886
AU BPT,R11676354
AU BQ9,R11677806
AU BQA,N189820294
AU BQL,R11676721
AU BQY,R1999986
AU BR2,R6532835
AU BR7,R9102596
AU BRB,R2403569
AU BRD,R6063934
AU BRE,R6458620
AU BRG,R6230406
AU BRH,R2456146
AU BRI,N113580452
AU BRJ,R2583192
AU BRK,R5735934
AU BRL,R5820670
AU BRM,R11716500
AU BRN,R9105810
AU BRO,R9096050
AU BRP,R11690017
AU BRQ,R11676104
AU BRR,R11692836
AU BRS,R2421649
AU BRW,R11674835
AU BSA,R5663426
AU BSH,R5554051
AU BSJ,R2643983
AU BTB,R5670453
AU BTD,N3271631586
AU BTN,R8355114
AU BTO,R5998989
AU BTT,R11689665
AU BTV,R2400155
AU BTX,N622249049
AU BUA,R5738467
AU BUB,R6037048
AU BUC,R11677411
AU BUL,R6076566
AU BUN,R2382203
AU BUO,R6821000
AU BUS,R11688682
AU BUT,R9099547
AU BUW,R2390025
AU BUY,R11688799
AU BVD,R7243599
AU BVI,R11676756
AU BVL,R11693063
AU BVS,R8362017
AU BVV,R3108804
AU BVW,W677615538
AU BVY,R11689465
AU BVZ,N3395866394
AU BWA,R6074485
AU BWB,R11690193
AU BWD,R7390164
AU BWE,R2395802
AU BWG,R6074484
AU BWI,R11677911
AU BWK,R2383219
AU BWL,R2961327
AU BWN,R2383975
AU BWO,R11325870
AU BWQ,R5735974
AU BWT,R10632587
AU BWU,R2162244
AU BWV,R11675860
AU BWW,R11677730
AU BXA,R2911900
AU BXH,R2384008
AU BXI,R5573665
AU BXT,R2434412
AU BYA,R5823156
AU BYB,R11688861
AU BYD,R11677782
AU BYF,R11689418
AU BYN,R11690025
AU BYP,R10585675
AU BYS,R2402651
AU BYU,R11688728
AU BYW,R11689261
AU BYX,N10538560890
AU BYY,R11692969
AU BZD,R5738770
AU BZU,R2016121
AU C6K,R5561533
AU C8M,R6028856
AU C8R,R6681178
AU CAB,R11677915
AU CAD,R2425108
AU CAH,R11677766
AU CAM,R2383865
AU CAO,R5623224
AU CAP,R11677893
AU CAR,R11677764
AU CAS,R5490412
AU CAV,R9060432
AU CAY,N3664021908
AU CAZ,R5736048
AU CBC,N2043483086
AU CBD,R11689645
AU CBG,R2393838
AU CBI,R10565259
AU CBK,R5490413
AU CBN,R5517465
AU CBO,R2562055
AU CBR,N21674637
AU CBU,R6056415
AU CBX,R5814663
AU CBY,N2382934674
AU CC2,R5653140
AU CCH,R2692893
AU CCL,R11674830
AU CCR,R7234734
AU CCS,R7378338
AU CCU,N3582853411
AU CCW,R6287852
AU CDA,N4413044105
AU CDE,R11674823
AU CDF,R6026661
AU CDI,R11689533
AU CDL,R11677807
AU CDN,R7273106
AU CDO,R7378260
AU CDQ,R11676976
AU CDR,R5607059
AU CDS,R5575200
AU CDU,R6290069
AU CDX,R11689785
AU CED,R6199031
AU CEE,R10590520
AU CER,R5626750
AU CES,R6191219
AU CFH,R6204050
AU CFI,N3441462632
AU CFL,R2395595
AU CFP,N4478237994
AU CFS,R6063464
AU CFT,R11675885
AU CG4,R6057987
AU CGA,R11690098
AU CGE,R6714294
AU CGL,R7381691
AU CGV,R11690220
AU CHA,R5644858
AU CHB,R6028855
AU CHE,R11677779
AU CHF,R5702338
AU CHI,R5504782
AU CHN,R5541343
AU CHS,R5608479
AU CHT,R11689602
AU CHU,R5558580
AU CIA,R5636914
AU CIE,R11688836
AU CKM,R6058974
AU CLA,R6321566
AU CLB,R5736000
AU CLC,R5904057
AU CLD,R2397440
AU CLF,R5634048
AU CLH,R6058971
AU CLI,R9096053
AU CLM,R11689229
AU CLO,R11678062
AU CLP,R7390241
AU CLT,N900609719
AU CLU,R6069778
AU CMA,R11674868
AU CMB,R10625782
AU CMD,R5928429
AU CML,R11678100
AU CMN,R5650673
AU CMO,R1999945
AU CMP,R5688500
AU CMQ,R11676686
AU CMR,R2384449
AU CMT,R9107457
AU CN6,R6069771
AU CNB,R7145506
AU CNE,R11689625
AU CNJ,R11677394
AU CNS,R11677109
AU CNT,R11689294
AU CNW,R6704605
AU CO2,R2463231
AU COB,N3321341539
AU COG,R6039472
AU COJ,R5803540
AU COL,R2398448
AU COM,R6064117
AU CON,R2466297
AU COO,R9043782
AU COT,R2079171
AU COU,R11676234
AU COW,R11295259
AU CPA,R10624843
AU CPB,R6830474
AU CPC,R2761882
AU CPD,R6208935
AU CPH,R9099224
AU CPL,R11688794
AU CPR,R11677754
AU CPS,R11675372
AU CPT,R2449657
AU CPW,R3148587
AU CR2,R10624986
AU CRA,R11675471
AU CRB,R5762805
AU CRE,R11675404
AU CRF,R9102587
AU CRG,R2911910
AU CRI,R6076597
AU CRJ,R6197078
AU CRK,R11677876
AU CRL,R11689992
AU CRO,R11691755
AU CRP,R11675361
AU CRR,R6026840
AU CRS,R11677103
AU CRT,R2383224
AU CRU,R2911989
AU CRV,R7268824
AU CRW,R11689224
AU CRX,R2403508
AU CRY,W143895606
AU CSI,R6069761
AU CSM,R2761883
AU CST,R2424079
AU CSX,R5655283
AU CTB,R11689765
AU CTC,R5656502
AU CTE,R11689392
AU CTF,R5652220
AU CTI,N11063425894
AU CTL,R11674877
AU CTN,R11677363
AU CTR,N4979302940
AU CTT,R2399698
AU CUD,R11675243
AU CUG,R6057992
AU CUI,R11676352
AU CUL,R11674819
AU CUQ,R11677444
AU CUR,R11675442
AU CUY,R11690055
AU CVA,R2401715
AU CVC,R9108362
AU CVL,R5708457
AU CVN,R11677903
AU CVP,R5661741
AU CVQ,R11689979
AU CVS,R11689273
AU CWK,R11689011
AU CWN,R5655194
AU CWR,R6204061
AU CWT,R6257796
AU CWW,R5892328
AU CXE,R5707584
AU CXQ,R14508322
AU CXT,R11676769
AU CYD,R5636927
AU CYG,R2592906
AU CZA,R6069762
AU CZY,N2033277661
AU D8N,R5501730
AU DAA,R11675355
AU DAG,R11675256
AU DAJ,R11677466
AU DAL,R6074515
AU DAM,R11690015
AU DAR,R11688826
AU DBO,R5807047
AU DBY,R11675808
AU DCG,R11689629
AU DCH,R11689184
AU DCK,R7385852
AU DCR,R2386805
AU DCV,R5712384
AU DDK,R11689521
AU DDN,W891734868
AU DDO,R6059000
AU DDP,R7378259
AU DEB,R11677692
AU DEN,R6058996
AU DEV,R10585660
AU DFE,R7390359
AU DGA,R6059273
AU DGE,R6059167
AU DGO,R6185449
AU DGQ,R11691738
AU DGY,R2410511
AU DHD,R11674923
AU DHI,W445443557
AU DHL,R11675400
AU DIA,R2384044
AU DIC,R6827851
AU DIL,R8355107
AU DIR,R6820999
AU DJR,R11676725
AU DKV,N1978742461
AU DLB,R5718744
AU DLH,R7280177
AU DLK,R6239257
AU DLP,R2920091
AU DLT,R11689325
AU DLV,N3750416736
AU DLY,R2016008
AU DMA,R11690414
AU DMD,R10921477
AU DMO,R11692741
AU DNA,R2448008
AU DNB,N3595825996
AU DND,R3333235
AU DNM,R11689969
AU DNQ,R5745730
AU DNS,R5483206
AU DOC,R10627368
AU DOI,R5719088
AU DOK,R2397613
AU DON,N4420372570
AU DOW,R11689417
AU DOX,R11689903
AU DPK,R2423682
AU DPO,R10632642
AU DPP,R5725737
AU DPW,R6069819
AU DRB,R11690258
AU DRN,R11674784
AU DRO,R11688751
AU DRU,R2463042
AU DRW,N1639099539
AU DRY,R2455511
AU DSB,R11688719
AU DSW,R5550185
AU DTO,R6076604
AU DTP,R5825096
AU DUK,R11677901
AU DUL,R9102605
AU DVE,R2395599
AU DVI,R2423087
AU DVP,N2400006418
AU DVR,R11716586
AU DVS,R5627171
AU DVT,R2423111
AU DXD,R11677442
AU DXK,R2427619
AU DYA,R11677560
AU DYM,R11676757
AU DYW,R11716434
AU E4E,R2406180
AU EAA,R11716504
AU EAB,R11689756
AU EBB,R6547542
AU EBH,R7379419
AU EBN,R11677751
AU EBO,R5850594
AU ECH,R2517602
AU ECR,R4525456
AU EDB,R6649337
AU EDC,R10593527
AU EDD,N2353455949
AU EDE,R6683174
AU EDI,R11692467
AU EDR,R11677423
AU EDW,R8355216
AU EGO,R6068235
AU EHS,R5544728
AU EIH,R11676969
AU EJB,R6063962
AU EKD,N3274372813
AU EKW,R3127007
AU ELB,N8422277972
AU ELC,N1856545166
AU ELE,R10627557
AU ELF,R11677771
AU ELT,R2384016
AU ELW,R2398100
AU ELZ,R7379422
AU EMD,R11676575
AU EML,R5998438
AU EMP,R5498063
AU ENG,R5518788
AU EPG,R5640228
AU EPK,R5485649
AU EPP,R2393881
AU EPR,R11689016
AU EPT,R11689213
AU ERB,R6389101
AU ERL,R2061444
AU ERM,R2008005
AU ERN,R6039384
AU ERS,R5700654
AU ESM,R3080712
AU ETD,R6205778
AU EUA,R2530930
AU EUC,R11690217
AU EUG,R7304476
AU EUK,R10604247
AU EUM,R11676225
AU EVD,W143823235
AU EVH,R6069861
AU EVL,R11677432
AU EVP,R10586169
AU EVT,R10604271
AU EWD,R5627443
AU EWO,R2398642
AU EXM,R11689994
